Records,Encode_No_Tests,Encode_With_Tests,Decode_No_Tests,Decode_With_Tests
100,0.001213,0.042496,0.000159,0.000858
1000,0.011277,0.012338,0.001503,0.002217
2000,0.022761,0.023989,0.003245,0.004157
3000,0.035847,0.040136,0.004603,0.005732
4000,0.046138,0.047465,0.006140,0.007233
5000,0.055406,0.055724,0.007585,0.008738
6000,0.064736,0.065419,0.009230,0.010013
7000,0.078628,0.079467,0.011015,0.011513
8000,0.089833,0.090613,0.012135,0.012935
9000,0.099288,0.099231,0.013812,0.014744
10000,0.110138,0.109988,0.015694,0.016465
